,utterance,category
33671,제가 주문할 때 분명히 단팥 2야채 2로 했는데 왜 고구마 3개가 온 거죠 ,기타
33672,주문하신 상품의 딜재 등록 시 전산 오류가 있었던 것 같아요   저희도 정확한 원인을 알 수가 업서당황스럽습니다 ,기타
33673,선택란이 없네요 ,기타
33674,세일 상품 다시 체크하면서 오류가 있었나 봅니다   새로 고침 후 다시 한 번 확인해 보셔요 ,기타
33675,노랑머그백 프로 증정이라고 표기해 두셨는데 품절이라고 나오네요 왜 표기해둔 이미지랑 다른 가요 ,기타
33676,해당 제품 한정 수량 제품이라 재고 소진되면 자동 품절 처리됩니다 ,기타
33677,지금 배경화면엔 10마리 20쪽에 3900원이라고 나오는데요 실제 구매 누르면 5마리 10쪽에 3900원으로 나오는데 어떤 게 잘못된 건가요 ,기타
33678,5 마리 10쪽 3900원이 맞습니다   관련 부서에 전달하여 이런 일이 없도록 주의 개선할 수 있도록 하겠습니다 ,기타
33679,알림에는 24병으로 와서 구매했는데 왜 제품 페이지에는 12병일까요 ,기타
33680,저도 같은 질문이요 ,기타
33681,상품설명에 테일러 푸룬주스 유통기한이 16년 3월인데 어떻게 된 건가요 ,기타
33682,상품 사이트에 처음 올릴 당시 유통기한이라고 해요   문의주 신상품 입고와 출고가 반복적인 상품으로 확인이 어렵습니다 ,기타
33683,자꾸 광고성 문자 보내는데 무슨 근거로 보내나요 ,기타
33684,문자 발송되지 않도록 조치하도록 할게요 ,기타
33685,품절이면 상품 내리는 게 맞는 거 아닌가요 ,기타
33686,빠른 상품 수정하도록 하겠습니다 ,기타
33687,아니 왜 아래 제 글은 계속 미 답변인 거죠 ,기타
33688,해당 상품 입고가 현지 코로나 재확산으로 인하여 커피업체로부터 생산 지연됨에 따라 입고 가 지연되었습니다 ,기타
33689,결제 때 합산이 될지 알았는데 그렇게 되지 않구요   어떻게 하면 될까요 ,기타
33690,저희가 상품 등록 시 부주 의 혹은 오류로 발생한 일인 것 같습니다   현재 문의주 신 상품은 묶음배송이 되는 제품입니다 ,기타
33691,수량 선택이 안 되는데 왜 그런가요 ,기타
33692,수량 선택이 어느 부분이 안 된다는 것인지 자세하게 말씀해 주세요 수량 확인으론 문제 있는 걸 못 찾고 있습니다 ,기타
33693,묶음배송 꼭 해주세요 근데 구매했는데 옆에 구매 여부에 비구매로 뜨는 건 왜일까요 ,기타
33694,결제 완료 후 판매자에게 주문 확인되기까지 약간의 시간이 소요되어 비구매로 확인되시는 듯합니다 ,기타
33695,배송비가 무료가 아닌데 상품설명을 고쳐야 하는 거 아니에요 ,기타
33696,설정이 무료로 되어 있습니다 ,기타
33697,모바일 구매 시 변경된 상세 페이지가 안 보이는 경우가 있다고 답변하셨는데 제가 그 경우 인건가요 ,기타
33698,기존 구매하신 상세 내역에 확인 시 상품명에 사은품이 기재 안 되어 있다면 증정 대상 주문건이 아닙니다 ,기타
33699,제품 주문을 하니 10900원으로 되네요 왜 그렇죠 ,기타
33700,저희가 페이지 확인을 해봐도 9900원으로 되며 9800원 이상이면 무료 배송이라 추가되는 것 없이 9900원 결재가 가능해요 ,기타
33701,추가 상품은 이미지를 어디서 볼 수 있나요 ,기타
33702,오류가 나서 보이지 않는 거 같아 수정하였습니다,기타
33703,확인해보니 농축액이 아니라는 데 3월 3일에 8시 지나서 주문했는데 그때도 저렇게 글이 기재되어 있었나요 ,기타
33704,혼돈을 드려 죄송합니다 ,기타
33705,선택의 폭을 넓히신 거면 EX 제품 페이지에서도 AX 제품을 판매해야 맞는 거고 EX 제품에 대한 설명을 넣으시는 게 맞는 거 아닌가요 ,기타
33706,저희가 응대하는 부분에 있어서 부족한 점이 있었던 것 사과드립니다   먼저 제품 비교를 하자면 두 가지 제품은 눈 건강에 도움이 되는 루테인지 아잔틴을 주원료로 하는 점은 동일합니다 ,기타
33707,34번랑 떡부터는 사진에 나와 있는 가격이랑 선택 시 가격이랑 왜 다른 가요 ,기타
33708,사진수정 중에 있어요 ,기타
33709,두부 색상이 갈색 노랑 등등 그렇게 보여지는 건 뭐 때문인가요 ,기타
33710,제품마다 사진에 색상이 다르게 나오는 건 사진 찍을 때 조건이 다른 겁니다   핸폰 사진    카메라 사진    조명 사용    포샵 등 하지만 실제로 색상은 풀무원 두부    해찬들 두부    손두부 제품들이 색상이 같듯이 건 두부도 색상에 차이가 크게 없습니다 ,기타
33711,이미지가 밀린 건지 2번 옵션 사진에 핵불닭소스인데 그냥 불닭소스가 맞는 거죠 ,기타
33712,구매에 감사드리며 고객님의 주문 상품은 불닭소스 3개로 확인되요 ,기타
33713,정확히 내용을 숙지 후 답변 다시는 것이 어떨까요 ,기타
33714,먼저 상품세팅 중 오기재로 인해서 고객님께 불편함을 드린 점 사과 말씀드리며 구매하신 상품의 경우 옵션에 기재되어 있는 점 참고 부탁드립니다 ,기타
33715,아래 글을 보니 옵션 오류라고 하셨는데 5개로 보고 구매한 구매자에게 옵션했던 대로 주셔야 하는 거 아닌가요 ,기타
33716,본 상품은 1팩에 4개로 구성이 되어 있습니다 ,기타
33717,7번 상품 성분표가 혹시 잘못된 건 아닌가요 ,기타
33718,현재 사이트 내 잘못 기재된 부분으로 수정할 수 있도록 할게요 ,기타
33719,8   9   10번 상품명이랑 사진이랑 다른 데 어떤 거 보고 주문해야 되나요 ,기타
33720,말씀하신 부분수정할 수 있도록 할게요   클릭 전 보이는 번호 상품으로 주문 바랍니다 ,기타
33721,옵션1 그림에는 16팩 옵션 선택에는 24팩 14900 어떤 게 맞나요 ,기타
33722,확인 후 변경하겠습니다 ,기타
33723,같은 태국 설탕이 면 슈그레인 올려놓고 미트폴 팔아도 됩니까 ,기타
33724,슈그레인 입고될 거에요 ,기타
33725,메모보고 글 남겨 요근데 반품 요청이 사라져서 환불 요청밖에 안 되되라고요 어떻게 해야 하나요 ,기타
33726,못 받으신 제품 부분 환불 처리해드렸습니다 ,기타
33727,아닠 판매자 쪽에서 글 올려놓고 안보임요 ,기타
33728,아닙니다 지금 확인 중에 있어요 ,기타
33729,구매 후기에 왜 의견 쓰는 게 안 되는 거죠 ,기타
33730,저희 제품에 만족하시지 못하신다니 저희도 속상해요 ,기타
33731,낚시 네 뻥이요 35그램인데 대용량 포장 사진을 ,기타
33732,현재 저희 판매 제품이미지는 35G 이미지가 맞습니다 ,기타
33733,왜 아이스크림 5개 구매가 16개 대량 구매보다 싼 건가요 ,기타
33734,네 점검 후 내일까지 처리하겠습니다 ,기타
33735,제품 카테고리가 왜 화장품 미용으로 바디 오일로 검색되나요 ,기타
33736,네먹는 식품이 맞습니다 제품명상 그렇게 분류가 된 것 같습니다 ,기타
33737,제가 필요한 건 검은 콩고칼슘 48팩인데 15번 선택하면 제대로 배송 오는 건가요 ,기타
33738,그림을 보지 마시구 선택 옵션으로 주문해 주시면 됩니다 저희가 그림이랑틀리게 올렷 내요수정하겠습니다 ,기타
33739,2번 상품 그림은 화이트골드를 서비스로 주는 거로 보이는데 글씨는 심플라떼라고 써 있네요 ,기타
33740,네 2번 상품은 모카골드 400T   심플라떼 상품이 맞습니다   오늘도 즐거운 하루 되세요 ,기타
33741,이제부터 주문할 때마다 주문 내역 캡쳐해야 되나요 ,기타
33742,딜 변경으로 인해 전산 오류가 있었던 듯해요   부족하게 받으신 상품명과 수량 정확히 알려주시면 12월 10일 이후 재출고할게요 ,기타
33743,상품 문의 몇 달 전 구입한 제품 중에 따뜻한 카푸치노 먹고는 너무 밍밍해서 몇 번 내렸다가 버렸는데요 캡슐에 우유물이 6칸으로 되어 있는데 싱품 페이지는 3칸이네요 ,기타
33744,캡슐 박스 윗부분에 표시된 물양은 유럽인에 맞춰져 있는 레시피라 말씀처럼 한국인에게는 맛이 밍밍할 수 있습니다 ,기타
33745,상품 89번이 반건시라고 되어 있는데 상품 내용에는 건 시 30개라고 되어 있더라구요 반 건 시가 맞는 건가요 ,기타
33746,8번 9번은 반건시가 맞습니다 상세표기가 잘못되었네요 ,기타
33747,주문할 때 240캅셀 2개월이라고 적혀 있었고 물건을 받고 보니 웨이더 비씨에 이에 이통에 영양 기능 정보에 하루 2회 섭취 1회 섭취떄4 알 즉 하루 8알을 먹으라는 건데 그럼 1개월인데 저기 위에 주문할 때 2개월은 먼 가요 ,기타
33748,여러 가지 상품을 취급하다보니 상품 명 기재에 있어서 상품명 등록에 실수가 있어서 수정 처리를 하였습니다 ,기타
33749,그 번호카톡 저장해보니 이름이 여기 대표 이름이던데요 ,기타
33750,사과드려요 ,기타
33751,치즈와 콤비네이션 구매하려고 하는데 옵션 선택시 치즈 피자 먼저 선택하면 14900원   콤비네이션 먼저 선택하면 13900원이네요 ,기타
33752,확인 중에 있습니다 ,기타
33753,50T 라고 되있는데 주문창은 30T 예요 뭐가 맞는 거죠 ,기타
33754,옵션 기준이 맞습니다 ,기타
33755,제목엔 3KG 이라 적혀 있고 상세 설명엔 1KG 1  5KG 이라 적혀 있는데 어떤 게 맞는 건가요 ,기타
33756,아 죄송합니다 타이틀에 있는 중량 3키로가 맞습니다 ,기타
33757,아직 받지도 못했는데 가격 저렴한 것처럼 팔더니 소비자 우롱하나요 ,기타
33758,옵션 조정에 문제가 있어 잠시 저렴한 가격으로 노출되었습니다 ,기타
33759,헐 주문하는데 12시 넘겨지면서 장바구니 서삭제됨 이 제주문 안 되는 거에요 ,기타
33760,12시에 프로모션이 종료되어 할인 혜택 적용은 끝났지만 현재 판매는 진행 중입니다 ,기타
33761,전 화드렸더니 여기 올려달라고 하고 글 쓸 때마다 어떤 제품이냐고 물어보고 대답 없네요   지금 한 달이 지났는데 답안주시나요 ,기타
33762,전산상의 문제로 고객님께서 주문하신 상품 중 10번의 상품명이 잘못 기재되어 10번 상품이 12곡물 쫀디기로 되어 있었습니다 ,기타
33763,왜 판매중지됬는지 물어봤는데  찍는 건 뭡니까 ,기타
33764,문의 글이 삭제로 내용이 저희 판매자에게는 보이지 않습니다 ,기타
33765,제가 슈퍼밀크시켰는데 옵션에 왜 초코라고 나오죠 ,기타
33766,고객님이 주문하신 상품은 맛있는 우유초코입니다   슈퍼밀크 구매 희망하시면 취소 후 재구매 부탁드립니다 ,기타
33767,딜페이지에 없던 내용 추가해서 수정하셨네요 ,기타
33768,상세 페이지 내에 수정이 안 되어 등록이 늦어지게 되었습니다 ,기타
33769,장바구니 담는 중 먹통되더니 판매 불가로 나오는 이유가 있는지요 ,기타
33770,준비된 행사 수량이 모두 완판되었습니다 ,기타
33771,아니 배송도 다 안 해놓고 물건 누락시키고 구매 확정 맘대로 하고 연락도 없이 지금 뭐 하자는 겁니까 ,기타
33772,구매 확정은 시스템 상 처리가 된 것 같습니다 분할배송 건도 신속하게 처리되도록 하겠습니다 ,기타
33773,무슨 소고기 미역국 300G 이요 ,기타
33774,먼저 배송지연으로 불편함을 드린 점 사과 말씀드립니다   답변 부분에 있어 착오가 있었부분으로 확인됩니다 ,기타
33775,상세 페이지 열면 똑같은 페이지가 열리는 것 알고 계시나요 ,기타
33776,네  상품 폐이지맨 위에 판매자 정보가 있고 거기를 누르시면 상품 정보 제공 고시 내용으로 옴겨지니 그 내용을 보시면 됩니다 ,기타
33777,재구매하려고 보니까 상품설명과 옵션 선택이 서로 달라서 요옵션 선택대로 고르면 되는 건가요 ,기타
33778,상세 페이지와 옵션은 다시 점검하여 수정하도록 하겟습니다 ,기타
33779,200그램 가격이 인상된 건가요 ,기타
33780,가격이 변경되어 있었네요 수정하도록 하겠습니다 ,기타
33781,거래처가 변경된 건가요 ,기타
33782,현재 운송장 번호가 입력은 되어 있는데요 실제로 출고가 안이루어졌습니다 ,기타
33783,네 원래 리뷰안다는 데 모처럼 리뷰 글 썼는데 안 올려졌나보네요 ,기타
33784,네 리뷰까지 작성해주셨다니 너무 감사드립니다 변함 없이 좋은 상품으로 만족 드릴 수 있도록 하겠습니다 ,기타
33785,왜 화장품 리뷰로 들어가나요 ,기타
33786,문의주신 매스틱 오일상품은 드시는 제품이 맞습니다 카테고리 지정할 때 제품과 카테고리의 매칭에 어려움이 있어서 보시는 카테고리에 지정하게 되었습니다 ,기타
33787,초코렛 24팩이 무배 900원으로 나오는데 판매자님 잘못 올리신 거죠 ,기타
33788,해당 이벤트가 격 설정 시 신입사원의 실수로 인해 고객님께 혼란을 드린 점 죄송합니다 ,기타
33789,선택1로 고기만두로 하니 선택2에서 김치만두는 안 되네요   오늘 안으로 수정안 될지요 ,기타
33790,주문 이후의 상품 옵션 변경이 어렵습니다   양해 부탁드립니다 ,기타
33791,분명히 제대로 선택했는데 결제로 넘어가면 왜 주문상품이 새우멸치 김자반으로 바뀌는 거죠 ,기타
33792,고객님이 주문하신 제품은 옵션 2번으로 확인되네요 ,기타
33793,후기 사진 찾아보니까 봉지 뒷면에 100G 에 253 칼로리로 적혀 있는 봉지들이 있던데 상세 페이지에는 197 칼로리되어 있고 뭐가 맞는 건가요 ,기타
33794,예전에는 253 칼로리였으나 현재는 작업 공정 추가로 100G 당 197 칼로리가 맞습니다 ,기타
33795,왜 옵션 2번 설명사진이랑 살려는 품목이랑 왜 다른 거에요 ,기타
33796,바로 수정하도록 하겠습니다 ,기타
33797,혹시나 해서 작성자 분께서 올리신 다른 상품도 가봤는데 그것도 안 뜨고요혹시나폰 문제인 가해서 여러 번 껐다가 켜기도 했눈데 불구하고 상품설명이 안뜨 네 여 왜 이런 가여 ,기타
33798,폰으로 보실 경우 간혹 이런 현상이 나타나기도 하더라구요,기타
33799,뭐가 4  500원이란 건가요 ,기타
33800,어떻게 이런 일이 일어났는지 시스템에러입니다 ,기타
33801,비프 찹스테이크만 1인분으로 나오는데 오류인가요 ,기타
33802,문의하신 비프 찹은 1인분 판매가 맞습니다 ,기타
33803,판매자님 유통기한이 왜 피씨버젼이랑 랑 모바일에서 보는 게 다른가요 ,기타
33804,모바일 연동이 늦더라구요   피씨 확인 유통기한 대로 발송해 드리겠습니다 ,기타
33805,20180919 오전 09시까지 결제 완료된 주문    휴무 전 배송 가능 이렇게 안내가 나와서 18일 저녁에 주문한 건데 3시30분 전에 주문해야 추석 전 배송된다는 답변을 주셨는데 그런 말이 어디 있나요 ,기타
33806,주문하신 딜페이지에 배송 공지가 누락되어 있었습니다 ,기타
33807,구매하고 문의 남겼는데 왜 구매 이력이 없는 거죠 ,기타
33808,잠시 시스템 오류로 인하여 고객님의 구매 이력이 조회되어지지 않았던 듯해요   고객님의 상품 어제 갓 담아낸 싱싱한 김치로 정상 출고되었으며 오늘 상품 수령 가능하시답니다 ,기타
33809,정답 3번이요 근데 구매예시 틀린 거죠 ,기타
33810,여기에 꿀딜 쿠폰을 사용할 수 있다면 3 000원 할인되어서 총결제 금액은 17 500원 ,기타
33811,49번 왜 그림에는 3개라고 되어 있고 밑에 글에는 2개라고 되어 있네요 ,기타
33812,사진이 수정되지 않으신 듯해요 ,기타
33813,3KG 은 6500원5KG 은 5300원이 거표기 제대로 된 거 맞나요 ,기타
33814,말씀해 주신 내용은 담당자 전달하여 가격 오류 수정할 수 있도록 할게요 ,기타
33815,후기 식단표 왜 11월 삭단표로 나와요 ,기타
33816,말씀 주신 후기 표기 잘못되있는 듯해요 ,기타
33817,상품 정보란 가격하고 실구매 가격하고 왜 틀린 거죠 ,기타
33818,네  할인이 9월 10일 내 일부터 적용이 됩니다 ,기타
33819,선택6 브라질 넛츠라면서 이미지는 브라질 넛츠가 없네요 ,기타
33820,구성품은 아몬드 브라질 너트 캐슈너트 블루베리가 들어가고 사진은 수정하겠습니다 ,기타
33821,거래처가 변경되는 게 확실한 가요 ,기타
33822,네 현재 취소 처리가 완료되었습니다 ,기타
33823,어째서 무슨 이유로 착각하게 해서 판매를 해야 하나요 ,기타
33824,해당 제품 정보 변경 담당자님한테요청드린 상태이오며 고객님들 혼란 생기지 않게 하루빨리 수정 처리하겠습니다 ,기타
33825,210G 15개 상품 없는데요 ,기타
33826,네 상세 안내 참고하셔서 구매 부탁드립니다   수정요청 드렸습니다 ,기타
33827,빠른 배송 부탁드려요 늦어도 토요일에는 받겠죠 ,기타
33828,주문해주신 상품은 금일 도정 하여 금일 출고 예정이므로 늦어도 토요일안으로 배송 가능해 보입니다 ,기타
33829,구매했는데 왜 상품 후기 남기는 게 안 될까요 ,기타
33830,하절기에는 아이스동봉하여 배송해 드려도 녹아 있어요 ,기타
33831,상품 문구에는 소스 3병과 면 3봉인데 선택란에는 소스 2병만 있네요 어느 것이 맞는 건가요 ,기타
33832,문의주 신제품 옵션 명 1      600G 짜리 2개 옵션 명 2      1개 증정면 250G 3개해서 소스 총 3병인 점 구매하실 때 참고 부탁드립니다 ,기타
33833,옵션 3번 아이키커 사과  포도 아닌가요 ,기타
33834,상품 옵션 혼동 하지 않도록 수정하겠습니다 ,기타
33835,훈제 닭가슴살이 왜 판매 물품에서 안보일까요 ,기타
33836,문의 해주셔서 감사합니다 현재 해당 딜은 단 하루 특가로 진행되는 이벤트 딜이랍니다 ,기타
33837,고구마 팩을 주문하고 싶은데 옵션 메뉴에 없네요 ,기타
33838,네 고구마 제품은 아임웰 고구마로 검색하시어 나오는 상품으로 구매해 주시면 되세요 ,기타
33839,물건을 받지도 않았는데 구매 확정 처리가 되었습니다 어떻게 된 건가요 ,기타
33840,고객님의 배송건은 국내들 들어와 통관 중에 있습니다 1      2일 내에 배송 예상합니다 ,기타
33841,제품 유통기간 이상세 설명에 표기된 20녀 5월 2일이 맞나요 ,기타
33842,유통기한을 수정하지 못해 네요 주문하신 제품은 인기가 많습니다 ,기타
33843,사은품으로 변경되는 거면 상품명에 명시를 안 하는 게 맞는 거 아닌가요 ,기타
33844,주문 후 본사에서 품절로 전달받아 변경 문자 발송되었어요 ,기타
33845,우유 주문하려고 하는데요 유통기한이 지난 것 같은데 아직 업데이트가 안 된 건가요 ,기타
33846,유통기한 빠르게 수정하겠습니다 ,기타
33847,갓김치 상품 설명에는 5KG 에 18900으로 되어 있고 옵션 선택으로 들어가면 3KG 으로 되어 있는데 뭐가 맞는 건가요 ,기타
33848,상세 설명에 금액이 잘못 기재되어 있는 듯해요 ,기타
33849,27일 배송으로 주문하려 했는데 주문 예약 탭이 없어졌네요 어떻게 해야 하죠 ,기타
33850,현재 예약 주문은 마감되었구요 추가 당일 생산량만 주문을 받고 있습니다 ,기타
33851,3번 그림에서는 240G 상품 정보에 사진 속에는 480G 인데 뭐가 맞는 건가요 ,기타
33852,240G 이 맞습니다 ,기타
33853,10일 날 주문 넣었다가 도저히 안 오길래 20일 되기 전에 반품 신청했는데 처리해준다는 답변만 달리고 아직도 안 해주셨네요 ,기타
33854,저희 쪽에서 문의를 하니 오류가 나옵니다   내일 고객센터 쪽으로 문의해보겠습니다 ,기타
33855,옵션에는 10개월 주문 선택 밖에 없는데 0개라고 하면 재고가 없는데 판매에 올린 건가요 ,기타
33856,현재 정상적인 주문 가능합니다   앞으로 즐거운 쇼핑에 불편함 드리지 않도록 최선을 다하겠습니다 ,기타
33857,NFC 저온 착즙이라고 되어 있는데 공정을 보면 원료 투입 후가 열 살균이라고 되어 있습니다   뭐가 맞는 건지요 ,기타
33858,저희 제품은 NFC 저온 착즙 공법으로 생산하여 착즙 과정에서의 영양소 파괴를 최소화합니다 ,기타
33859,왜 상품 상세보기가 안 보일까요 ,기타
33860,안녀 하세요 상세보기 보이고 있어요핸드폰이면 원본보기 클릭하시면 될꺼 같아요 ,기타
33861,옵션 3번은 5병이면 5개월분인데 왜 6개월분이라 써 있죠 ,기타
33862,금일 빠른 게 수정하도록 할게요 ,기타
33863,7번 이 주문창은 프리미엄 4키로   사진은 3키로 되있는데 4키로가 맞는 거죠 ,기타
33864,옵션 명으로 확인하시면 됩니다 ,기타
33865,225명칭이 밀려 있는데 어떻게 주문하죠 ,기타
33866,빠른 수정토록 할게요 ,기타
33867,주문할려고 보니 삼겹살이랑은 배송비 따로 내야 하네요 ,기타
33868,잘못되어 있었네요 수정했습니다 ,기타
33869,18시까지 10마리 20쪽 3900원이라면서 왜 상품 페이지 들어오니 5마리 10쪽이 3900원인지 이럴 거면 왜 광고한 건가요 ,기타
33870,관련 부서에 전달하여 이런 일이 없도록 주의 개선할 수 있도록 하겠습니다 ,기타
33871,판매자 전화번호가 없는 번호라고 나오는데 상품 판매하는 거 맞나요 ,기타
33872,전번이 바뀌었는데요즘 굴 작업하느라 수정을 못했네요 통미역 줄기는 판매하지 않습니다 ,기타
33873,제품은 한미약품인데 왜 다른 회사 상품의 댓글이 달려 있나요 ,기타
33874,저희 제품 녹십자쇼킹 다이어트 제품의 후속 제품으로써 원료 배합 및 섭취 함량을 업그레이드하여 한미쇼킹 다이트로 제품을 출시하여 현재 판매하고 있습니다 ,기타
33875,변경 안 되어 있는데 걍 사면 10개와요 ,기타
33876,당분간 수정이 어렵다 하여 10개 구성 외 다른 상품으로 선택 부탁드립니다 ,기타
33877,카푸치노부터 왜 상품 상세 설명이랑 제품이랑 안 맞나요 ,기타
33878,담당자 확인 후 수정하도록 하겠습니다 ,기타
33879,왜 모든 물품이 1  1인 것처럼 첫머리에 딱 표기했을까요 ,기타
33880,네 혼란을 드려 정말 죄송하단 말씀드립니다   수정하여 혼동 없도록 하겠습니다 ,기타
33881,껍질인 줄 알았으면 다른 거샀을 텐데 이미지도 없고 설명도 없고 옵션에 껍질이라는 단어도 없고 제대로 설명하고 판매해야 되는 거 아닌가요 ,기타
33882,빠른 시일 내로 판매 관련 내용 정리하도록 하겠습니다 ,기타
33883,6번 상품 23900이라고 돼 잇는데 계산하려니까 왜 27900이죠 ,기타
33884,현재 6번 23900원으로 수정해 놓았습니다 다시 한번 부탁드리겠습니다 ,기타
33885,25  멕시코 핑카몬테그랑떼 상품 옵션엔저렇게 표기되어 있는데 홈페이지 소개는 25  멕시코 알투라SHB로 되어 있네요   어떤 게 맞는 건가요 ,기타
33886,표기명만 다를 뿐 같은 제품이십니다 ,기타
33887,내일 받으려고 하는데요 반건조 양미리가 품절이라고 뜨는 데 어떻게 해야 하는 거죠 ,기타
33888,수정하였습니다 지금은 정상입니다 ,기타
33889,구매가 안 된다고 전화도 했었는데 해결해준 댔는데 아직도 구매가 안 되네요 ,기타
33890,현재 전산 작업 중에 있어요 ,기타
33891,식빵이 450그람이라고 세부 내역 홰인 되는데 선택 시 식빵 그람수가 100으로 표기되는 건 왜인 걸까요 ,기타
33892,100G 는 오표기로 확인되어 수정할게요 ,기타
33893,주문 문의 주문하려는 데 계속 최대 수량을 구매해서 할 수 없다고 합니다   왜 이러나요 ,기타
33894,저희가 현재 수량 부족으로 인해서 구매 횟수가 제한이 된 것 같습니다   빠른 확인해서 수정하도록 말씀드리겠습니다 ,기타
33895,갓김치가 설명은 5KG 인데 클릭하면 왜 3KG 로 나오나요 ,기타
